Token Name,Type,Total SOL Balance,Total USD Investment,Total Token Balance,Number of Transactions,Trade Hold Time,Profit (SOL),Profit (USD),ROI
Nobu,Buy,0.02481859,3.35050992,175432.88010100,1,5.20 minutes,,,
Nobu,Sell,0.10000000,13.50000000,175432.88010100,1,5.20 minutes,,,
Nobu,Profit,0.07518141,10.14949008,,,,0.07518141,10.14949008,302.92 %
BURGER,Buy,0.11293777,15.24659881,629806.52890200,1,3.68 minutes,,,
BURGER,Sell,0.35000000,47.25000000,629806.52890200,1,3.68 minutes,,,
BURGER,Profit,0.23706223,32.00340119,,,,0.23706223,32.00340119,209.91 %
LARA,Buy,0.38786676,52.36201233,2034800.94175800,1,3.33 hours,,,
LARA,Sell,1.60000000,216.00000000,2034800.94175800,4,3.33 hours,,,
LARA,Profit,1.21213324,163.63798767,,,,1.21213324,163.63798767,312.51 %
BUDDY,Buy,1.39881950,188.84063277,1138453.51624700,1,20.13 minutes,,,
BUDDY,Sell,1.00000000,135.00000000,1138453.51624700,1,20.13 minutes,,,
BUDDY,Profit,-0.39881950,-53.84063277,,,,-0.39881950,-53.84063277,-28.51 %
PEPE,Buy,0.00405103,0.54688905,36413.70633500,1,14.87 hours,,,
PEPE,Sell,0.10000000,13.50000000,36413.70633500,1,14.87 hours,,,
PEPE,Profit,0.09594897,12.95311095,,,,0.09594897,12.95311095,2368.51 %
1MCAT,Buy,0.00418919,0.56554011,101634.18567200,1,6.46 hours,,,
1MCAT,Sell,0.08000000,10.80000000,101634.18567200,2,6.46 hours,,,
1MCAT,Profit,0.07581081,10.23445989,,,,0.07581081,10.23445989,1809.68 %
VADDY,Buy,0.04376332,5.90804807,101553.67311700,1,18.23 minutes,,,
VADDY,Sell,0.05000000,6.75000000,101553.67311700,1,18.23 minutes,,,
VADDY,Profit,0.00623668,0.84195193,,,,0.00623668,0.84195193,14.25 %
TATOS,Buy,0.04715623,6.36609145,521704.63129000,1,25.73 minutes,,,
TATOS,Sell,0.30048300,40.56520500,521704.63129000,3,25.73 minutes,,,
TATOS,Profit,0.25332677,34.19911355,,,,0.25332677,34.19911355,537.21 %
kichi,Buy,0.39951103,53.93398851,148124.58223900,3,1.30 hours,,,
kichi,Sell,0.35000000,47.25000000,148124.58223900,7,1.30 hours,,,
kichi,Profit,-0.04951103,-6.68398851,,,,-0.04951103,-6.68398851,-12.39 %
WINE,Buy,0.11807705,15.94040229,17866.59183400,1,1.20 hours,,,
WINE,Sell,0.10000000,13.50000000,17866.59183400,1,1.20 hours,,,
WINE,Profit,-0.01807705,-2.44040229,,,,-0.01807705,-2.44040229,-15.31 %
LAZY,Buy,0.07958269,10.74366301,1494171.80510700,1,11.81 hours,,,
LAZY,Sell,0.20000000,27.00000000,1494171.80510700,3,11.81 hours,,,
LAZY,Profit,0.12041731,16.25633699,,,,0.12041731,16.25633699,151.31 %
FATHERPEPE,Buy,0.11931678,16.10776503,36038.96034500,1,44.10 minutes,,,
FATHERPEPE,Sell,0.10000000,13.50000000,36038.96034500,1,44.10 minutes,,,
FATHERPEPE,Profit,-0.01931678,-2.60776503,,,,-0.01931678,-2.60776503,-16.19 %
BPONKE,Buy,0.02384861,3.21956276,2686003.80372300,1,11.59 hours,,,
BPONKE,Sell,0.05000000,6.75000000,2686003.80372300,1,11.59 hours,,,
BPONKE,Profit,0.02615139,3.53043724,,,,0.02615139,3.53043724,109.66 %
069420,Buy,0.04507571,6.08522045,137625.51110200,1,13.13 hours,,,
069420,Sell,0.10000000,13.50000000,137625.51110200,1,13.13 hours,,,
069420,Profit,0.05492429,7.41477955,,,,0.05492429,7.41477955,121.85 %
FPEPE,Buy,0.03356929,4.53185361,205775.83487100,1,0.55 minutes,,,
FPEPE,Sell,0.05000000,6.75000000,411551.66974200,1,0.55 minutes,,,
FPEPE,Profit,0.01643071,2.21814639,,,,0.01643071,2.21814639,48.95 %
Win Rate,,,,,,,,,10 / 15,66.67%
Total Invested,,,,,,,,,,383.75 USD
Total Return,,,,,,,,,,227.87 USD